,photo_url,link,name,central_distance,sustainability,rating,comfort_rating,review_count,room_description,room_specifics,price,original_price,neighborhood_city,start_date,end_date,map_lat,map_lng,name,description
0,https://cf.bstatic.com/xdata/images/hotel/square600/338164874.webp?k=f440c0ff7ff024cd3285273800ae6dd521ebe139ac5ce627c145f56a1c339485&o=,https://www.booking.com/hotel/us/caza.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=521416402_372919619_2_0_0&highlighted_blocks=521416402_372919619_2_0_0&matching_block_id=521416402_372919619_2_0_0&sr_pri_blocks=521416402_372919619_2_0_0__153812&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Caza Fisherman's Wharf,2.3 km from center,Travel Sustainable Level 2,8.4,Comfort 9.0,"2,941 reviews",Deluxe Queen Room with Two Queen Beds,2 queen beds,"€ 1,411","€ 1,897","Fisherman's Wharf, San Francisco",2024-04-14,2024-04-21,37.80658700,-122.41801300,Hotel Caza Fisherman's Wharf,"




You're eligible for a Genius discount at Hotel Caza Fisherman's Wharf! To save at this property, all you have to do is sign in.
Located in San Francisco, a 5-minute walk from Ghirardelli Square, Hotel Caza Fisherman's Wharf has accommodations with free bikes, private parking, an outdoor swimming pool and a fitness center. Among the facilities of this property are a restaurant, a shared lounge and a 24-hour front desk, along with free WiFi throughout the property. The hotel has a garden and provides a sun terrace.

At the hotel, rooms include a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms include a safety deposit box and some have city views. The rooms have a closet.

You can play pool at this 4-star hotel.

Popular points of interest near Hotel Caza Fisherman's Wharf include Alcatraz, Pier 39 and Coit Tower. The nearest airport is San Francisco International Airport, 14 miles from the accommodation.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
1,https://cf.bstatic.com/xdata/images/hotel/square600/228751512.webp?k=862c4a938912e472ab2af3028531968acd6364f23efd2e4ad9cf26496bcb45bb&o=,https://www.booking.com/hotel/us/riu-plaza-fishermans-wharf.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5889127_268779679_2_1_0&highlighted_blocks=5889127_268779679_2_1_0&matching_block_id=5889127_268779679_2_1_0&sr_pri_blocks=5889127_268779679_2_1_0__189789&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Riu Plaza Fisherman's Wharf,2.2 km from center,Travel Sustainable Level 3+,8.2,Comfort 8.8,"11,335 reviews",Deluxe Queen Room with Two Queen Beds,2 queen beds,"€ 1,741","€ 2,890","Fisherman's Wharf, San Francisco",2024-04-14,2024-04-21,37.80699906,-122.41348274,Riu Plaza Fisherman's Wharf,"




You're eligible for a Genius discount at Riu Plaza Fisherman's Wharf! To save at this property, all you have to do is sign in.
Located within 10 minutes’ walk from Pier 39, the family-friendly Hotel Riu Plaza Fisherman's Wharf is a nonsmoking accommodations that features an outdoor pool. All guest rooms include a 49-inch flat-screen TV.

Hotel Riu Plaza Fisherman's Wharf provides every air-conditioned guestroom with ironing facilities, a safety deposit box and tea- and coffee-making facilities. Deluxe bedding is included along with a spacious desk and chair.

Guests can relax by the outdoor fire pits or take wine and bay tours, which can be arranged through the concierge service. Free WiFi is available in the hotel lobby. A business center and event facilities are located on site.

Northpoint is a BAR from 6pm to midnight.

The gastronomy of this hotel in Pier 39 will not disappoint you. In the morning, you can enjoy delicious American buffet breakfasts so you can start the day with energy. The rest of the day, you have the Grab & Go with some tables and chairs, where you can enjoy products from our menu while you work on your laptop or take a break. The Hotel Riu Plaza Fisherman's Wharf bar offers you the ideal setting to enjoy drinks and snacks during the afternoon.

Cannery Shopping Center is 1640 feet from Hotel Riu Plaza Fisherman's Wharf. The iconic Golden Gate Bridge is 3.7 mi away. Ghirardelli Square is 12 minutes’ walk from this hotel.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Hotel chain/brand:
RIU Plaza
, 
RIU Hotels & Resorts

Distance in property description is calculated using © OpenStreetMap

Show me more



"
2,https://cf.bstatic.com/xdata/images/hotel/square600/127828299.webp?k=93dc916f2f0c9b5a813c05d00171488d5ef9960c8408a6f3dc2f7a507bff54cf&o=,https://www.booking.com/hotel/us/the-bartlett-and-guesthouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=305459502_273898135_0_0_0&highlighted_blocks=305459502_273898135_0_0_0&matching_block_id=305459502_273898135_0_0_0&sr_pri_blocks=305459502_273898135_0_0_0__70247&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,The Bartlett Hotel and Guesthouse,200 m from center,Travel Sustainable Level 1,7.2,,"1,666 reviews",Queen Room with Shared Bathroom,1 queen bed,€ 644,,"Union Square, San Francisco",2024-04-14,2024-04-21,37.78639728,-122.40875090,The Bartlett Hotel and Guesthouse,"




You're eligible for a Genius discount at The Bartlett Hotel and Guesthouse! To save at this property, all you have to do is sign in.
Featuring a shared lounge, bar and free WiFi, The Bartlett Hotel and Guest house is located in San Francisco, 1969 feet from Union Square and 1.3 mi from Moscone Center. Located in the Union Square district, the property provides guests with access to a restaurant. Attractions in the area include San Francisco City Hall set 1.6 mi from the property.

All guest rooms in the hotel are equipped with a flat-screen TV.

Staff at the 24-hour front desk can provide tips on the area.

Coit Tower is 1.7 mi from The Bartlett Hotel and Guest house, while Oracle Park is 1.8 mi from the property. The nearest airport is San Francisco International Airport, 14 mi from the accommodations.



Couples in particular like the location – they rated it 8.9 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
3,https://cf.bstatic.com/xdata/images/hotel/square600/5995084.webp?k=4f709c824e34108f3a7f3bdceb6b89ba9b93aa7f467459fd21d389a10e3e3a59&o=,https://www.booking.com/hotel/us/hebert.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5595309_273898015_0_0_0&highlighted_blocks=5595309_273898015_0_0_0&matching_block_id=5595309_273898015_0_0_0&sr_pri_blocks=5595309_273898015_0_0_0__64489&from=searchresults#hotelTmpl,Herbert Hotel,200 m from center,,6.9,,906 reviews,Queen Room with Shared Bathroom,1 queen bed,€ 592,,"Union Square, San Francisco",2024-04-14,2024-04-21,37.78626160,-122.40815520,Herbert Hotel,"




You're eligible for a Genius discount at Herbert Hotel! To save at this property, all you have to do is sign in.
This historic San Francisco hotel is located along the Powell Street Cable Car line, 1 block from shopping at Union Square. It features contemporary rooms with free WiFi.

Guest rooms at Herbert Hotel boast colorful bedspreads and wall art. A cable TV and a coffee maker are provided.

Laundry facilities are available. Shuttle service to San Francisco International Airport may be arranged.

Chinatown and the San Francisco Museum of Modern Art are 10 minutes' walk from Herbert Hotel San Francisco. The Powell St. BART Subway Station is 1 block away.



Couples in particular like the location – they rated it 9.0 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
4,https://cf.bstatic.com/xdata/images/hotel/square600/15475215.webp?k=4a6861e836c549597c6cc3b158a57ba96d58ba2cd34307702ed4f041dcb8456d&o=,https://www.booking.com/hotel/us/kensington-park.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5614715_245369829_2_0_0&highlighted_blocks=5614715_245369829_2_0_0&matching_block_id=5614715_245369829_2_0_0&sr_pri_blocks=5614715_245369829_2_0_0__114065&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Kensington Park Hotel,150 m from center,Travel Sustainable Level 1,8.3,Comfort 8.6,"1,303 reviews",Deluxe Queen Room,1 queen bed,"€ 1,046","€ 1,353","Union Square, San Francisco",2024-04-14,2024-04-21,37.78824943,-122.40940046,Kensington Park Hotel,"




You're eligible for a Genius discount at Kensington Park Hotel! To save at this property, all you have to do is sign in.
Located 2 minutes’ walk from Union Square and a classic Cable Car stop, this San Francisco hotel is in the heart of downtown San Francisco shops, galleries and restaurants. All elegant rooms offer free WiFi.

Styled in white fine linens, each room features black out drapes, mahogany furnishings and a light-up mirror at Kensington Park Hotel. A flat-screen cable TV and free spa toiletries in the private bathroom are offered. A spacious desk and coffee-making facilities are also provided.

The Grand Lobby reception offers sherry pours each evening for guests of Kensington Park Hotel. Dry cleaning services are offered to all guests. A business center and a 24-hour reception are also provided.

Fisherman's Wharf is 25 minutes’ cable car ride away. The Ferry Building shops, restaurants and ferries to Sausalito and Tiburon are 1 mi away from Kensington Park Hotel. San Francisco International Airport is 40 minutes' drive away.



Couples in particular like the location – they rated it 9.5 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
5,https://cf.bstatic.com/xdata/images/hotel/square600/426925269.webp?k=763da78ccff9e8e25dfba65c31a87de54606b1f020651a1736a548becd024768&o=,https://www.booking.com/hotel/us/handlery-union-square.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5628504_245000754_0_0_0&highlighted_blocks=5628504_245000754_0_0_0&matching_block_id=5628504_245000754_0_0_0&sr_pri_blocks=5628504_245000754_0_0_0__126693&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Handlery Union Square Hotel,150 m from center,Travel Sustainable Level 2,8.1,Comfort 8.5,"5,930 reviews",Petite Double Room,1 full bed,"€ 1,162","€ 1,277","Union Square, San Francisco",2024-04-14,2024-04-21,37.78723774,-122.40905643,Handlery Union Square Hotel,"




You're eligible for a Genius discount at Handlery Union Square Hotel! To save at this property, all you have to do is sign in.
This San Francisco hotel is located in Union Square, a 5-minute walk from the Powell Street cable car line. It offers an outdoor pool and rooms with an MP3 connection.

Guests will also have access to an on-site fitness center and dry sauna.

Each classically-designed room at the Union Square Handlery is equipped with a flat-screen cable TV and mini-refrigerator. Free coffee and tea are also provided in every room. Some rooms offer balconies with views of the city or pool.

The Moscone Convention Center and The Museum of Modern Art are 5 blocks from the Handlery in San Francisco. The Aquarium of the Bay is less than 1 mile (1 mi) from the hotel.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
6,https://cf.bstatic.com/xdata/images/hotel/square600/51805897.webp?k=6458c338a8618a66e1203b9368509f0a03c59cd8a013e1080c16624f7a7ac86a&o=,https://www.booking.com/hotel/us/zephyr-san-francisco.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=130731601_362081184_2_0_0&highlighted_blocks=130731601_362081184_2_0_0&matching_block_id=130731601_362081184_2_0_0&sr_pri_blocks=130731601_362081184_2_0_0__164680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Zephyr San Francisco,2.3 km from center,Travel Sustainable Level 2,8.3,Comfort 8.7,"4,543 reviews",Standard King Room,1 king bed,"€ 1,511",,"Fisherman's Wharf, San Francisco",2024-04-14,2024-04-21,37.80776270,-122.41322170,Hotel Zephyr San Francisco,"




You're eligible for a Genius discount at Hotel Zephyr San Francisco! To save at this property, all you have to do is sign in.
Offering a fitness center, Hotel Zephyr San Francisco is located a short 984 feet from Pier 39 Fisherman's Wharf.

Each nautical-themed room features fishnet-covered light fixtures and porthole-style windows. A satellite TV and WiFi offer in-room entertainment. Featuring a bath or shower, the private bathrooms come with a hairdryer and free toiletries. Extras include a refrigerator, desk, a safety deposit box, and a laptop safe. Select rooms offer stunning views of San Francisco Bay.

At Hotel Zephyr San Francisco, you will find a 24-hour reception and a mini-market. Other facilities offered at the property include a shared lounge, a games room and a ticket service. An array of activities can be enjoyed on site or in the surroundings, including cycling.

The hotel is 2625 feet from Lombard Street and Ghirardelli Square. San Francisco International Airport is 13 mi away.



Couples in particular like the location – they rated it 9.5 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
7,https://cf.bstatic.com/xdata/images/hotel/square600/160900857.webp?k=7da4b3dbc4f4fb941979e5ce814d84c29fea7b8c4cde200c3607a0fc3ec5ab83&o=,https://www.booking.com/hotel/us/orchard-garden.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5618301_91458626_2_0_0&highlighted_blocks=5618301_91458626_2_0_0&matching_block_id=5618301_91458626_2_0_0&sr_pri_blocks=5618301_91458626_2_0_0__107170&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Orchard Garden Hotel,400 m from center,Travel Sustainable Level 1,8.9,Comfort 9.4,"1,314 reviews",King Room,1 king bed,€ 983,"€ 1,080","Chinatown, San Francisco",2024-04-14,2024-04-21,37.79070553,-122.40524635,Orchard Garden Hotel,"




Located next to Chinatown, this eco-friendly hotel is 1.9 mi from San Francisco Art Institute.  It features a rooftop garden and patio, and offers free WiFi.

Guests can enjoy an iPod dock in their rooms at Orchard Garden Hotel.  Rooms feature pastel colors, organic bath products and a large work desk. Smart TVs are also available and have the ability to connect to guests' phones and tablets.

The Orchard Garden's on-site restaurant Roots offers American cuisine made with sustainable ingredients. The restaurant is only open for breakfast.

Cardio room facilities and free WiFi are provided at this hotel.  Also offered are a tour desk and concierge services.

Ferry Plaza and the scenic Justin Herman Plaza are 1.9 mi from the hotel.  Fisherman’s Wharf is 9 minutes' drive away.



Couples in particular like the location – they rated it 9.5 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
8,https://cf.bstatic.com/xdata/images/hotel/square600/128486026.webp?k=c65d720009d620e57ed4f156a3fdcfd8682c06b7ff755f686f70b817ae80a336&o=,https://www.booking.com/hotel/us/city-center-inn-and-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=5768009_384101681_2_0_0&highlighted_blocks=5768009_384101681_2_0_0&matching_block_id=5768009_384101681_2_0_0&sr_pri_blocks=5768009_384101681_2_0_0__75064&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,City Center Inn and Suites,1.2 km from center,Travel Sustainable Level 1,7.2,,464 reviews,Deluxe Queen Room,1 queen bed,€ 689,€ 757,"Downtown San Francisco, San Francisco",2024-04-14,2024-04-21,37.77727647,-122.40870304,City Center Inn and Suites,"




This City Center Inn & Suites located in Center of the San Francisco. Hotel is located 15 Minute Walk From Moscone Center, 1 Mile away From Union Square and 1.9 Miles From Oracle Park. City Center Inn & Suites Provides Guest Rooms with Free WiFi, Free Private Limited Parking in a Completely Smoke-Free Environment.

A Flat Screen LED TV with Premium HD Channels, in-room Coffee Maker, Iron, Hair Dryer and a Private Bathroom with Free Toiletries are provided in each guest room at this hotel.

City Center Inn and Suites offers Free Private Limited Parking, on-site sightseeing tours and a multi-lingual staff.

City Center Inn and Suites places guests in close proximity to many popular sites. Home of the San Francisco Giants baseball team, Oracle Park is 1.6 mi away. Entertainment venue Bill Graham Civic Auditorium & City Hall is 13 minutes’ walk away. San Francisco Airport is 12 Miles Away.




Distance in property description is calculated using © OpenStreetMap

Show me more



"
9,https://cf.bstatic.com/xdata/images/hotel/square600/513662239.webp?k=36c57bf236df20c95c2facdb582ebf7514b9c18a3a775c4b6c87e7d8c3fba01c&o=,https://www.booking.com/hotel/us/marine-s-memorial-club-union-square.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AueUza0GwAIB0gIkZTg1N2U1NTQtNzUwMi00MzIyLWIzZDktMWJiOWU0MmZhNjM22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=d6092a4c1e5b00a2&srepoch=1706248877&all_sr_blocks=24504306_199954732_2_1_0&highlighted_blocks=24504306_199954732_2_1_0&matching_block_id=24504306_199954732_2_1_0&sr_pri_blocks=24504306_199954732_2_1_0__179942&from=searchresults#hotelTmpl,Marines' Memorial Club & Hotel Union Square,300 m from center,,8.6,Comfort 8.9,"1,839 reviews",Double Room with Two Double Beds,2 full beds,"€ 1,651","€ 1,814","Union Square, San Francisco",2024-04-14,2024-04-21,37.78893562,-122.41047598,Marines' Memorial Club & Hotel Union Square,"




Located in a historic building that is just 5 minutes’ walk from Union Square, Marines' Memorial Club & Hotel Union Square features a rooftop restaurant, a library, a full-service health club and a 564 seat on-site theater. All spacious guest rooms include free WiFi.

A cable LCD TV, a refrigerator and deluxe guest robes are provided in each guest room at Marines' Memorial Club & Hotel Union Square.  Guest rooms also include an in-room safe, free daily newspapers and free local calls.

Guests can dine or enjoy a drink at the on-site Leatherneck Steakhouse.

Guests have free access to the unique “Living Memorial” museum at the hotel. The entire building is a tribute to veterans who gave their lives while serving in the US Armed Forces. The halls of the hotel are lined with historical remnants of the past including photos, medals and interactive exhibits.

Guest have access to the hotel business center. Club One features an indoor lap pool (by appointment only), steam rooms, modern equipment and massage treatment rooms. Exercise studios and private locker rooms are also provided.

Marines' Memorial Hotel Union Square is 10 minutes’ walk to Powell Street BART station, which provides service to San Francisco International Airport. Chinatown is 12 minutes’ walk away.



Couples in particular like the location – they rated it 9.3 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
